Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Längd
völkl-peregrine-inkl-lowride-xl-fr-gw,,,,,,,,Längd,182 cm,,,,,völkl-peregrine-82-inkl-lowride-xl-13-fr-gw-182,2000,shopify,0,deny,manual,10399,12999.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_051.jpg,1,182cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_051.jpg,kg,,,active,182 cm
völkl-peregrine-inkl-lowride-xl-fr-gw,,,,,,,,Längd,167 cm,,,,,völkl-peregrine-82-inkl-lowride-xl-13-fr-gw-167,2000,shopify,0,deny,manual,10399,12999.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_122.jpg,1,167cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_122.jpg,kg,,,active,167 cm
völkl-peregrine-inkl-lowride-tcx-gw,Völkl Peregrine 80 inkl LowRide TCX 12 GW,"<p>Upplev precision och mångsidighet i toppklass med Völkl Peregrine 80. Denna skida är skapad för pistälskaren som vill ha maximal kontroll och prestanda på hårdpackad snö och varierade förhållanden. Den ger en balanserad skidupplevelse i alla snöförhållanden och är inspirerad av sin föregångare, Deacon 80. Skidan har ett Titanal-band som löper längs hela skidan, vilket bibehåller den övergripande styvheten samtidigt som vikten minimeras. Titanal ger en pålitlig och stadig åkning, så att skidåkarna kan uppleva en välbalanserad kombination av mjukhet och livlighet. Tailored Carbon Tips, som även finns på Peregrine 82, ger ökad smidighet med minimal ansträngning.Med en midja på 80 mm levererar Peregrine 80 en perfekt balans mellan snabb kant-till-kant-övergång och stabilitet i hög fart.



Skidan är utrustad med LowRide TCX 12 GW-bindningar, som optimerar kraftöverföringen och erbjuder en lägre ståhöjd för en ännu närmare kontakt med underlaget. Bindningarna är GripWalk-kompatibla, vilket ger extra komfort och enkel användning både på och av skidorna.


Teknisk specifikation


Midjebredd: 80 mm – för smidiga svängar och snabba reaktioner.

Konstruktion: Full Sidewall med träkärna – för maximal stabilitet och vibrationsdämpning.

Rocker-profil: Tip & Tail Rocker – gör det enkelt att initiera svängar och hantera olika snöförhållanden.

Bindningar: LowRide TCX 12 GW – lågprofilbindningar för förbättrad precision och kraftöverföring.

Längdalternativ och radie:

156 cm – Radie: 12.5 m

163 cm – Radie: 14.0 m

170 cm – Radie: 15.5 m

177 cm – Radie: 17.0 m





Völkl Peregrine 80 är valet för åkare som söker kompromisslös prestanda på pisten och vill ta sin skidåkning till nästa nivå. Oavsett om du finslipar carvingsvängarna eller utmanar backens brantaste partier, levererar denna skida den kontroll och åkglädje du förväntar dig av Völkl.</p>",Völkl,Pistskidor,Skis,"Pistskidor, unisex, Skiing, Alpine",True,Längd,167 cm,,,,,völkl-peregrine-80-inkl-lowride-tcx-12-gw-167,2000,shopify,94,deny,manual,10999,8799.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_086.jpg,1,Völkl Peregrine 80 inkl LowRide TCX 12 GW 167cm - Product 006,False,Völkl Peregrine 80 inkl LowRide TCX 12 GW 167cm - Völkl | Premium Alpine Skis,Buy Völkl Peregrine 80 inkl LowRide TCX 12 GW by Völkl. High-quality alpine skis perfect for pistskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,völkl-peregrine-80-inkl-lowride-tcx-12-gw-167;172;177;162;182,Völkl Skis,"Pistskidor, unisex",new,False,Völkl,Pistskidor,unisex,167;172;177;162;182,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_086.jpg,kg,,,active,167 cm
völkl-peregrine-inkl-lowride-tcx-gw,,,,,,,,Längd,172 cm,,,,,völkl-peregrine-80-inkl-lowride-tcx-12-gw-172,2000,shopify,29,deny,manual,10999,8799.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_039.jpg,1,172cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_039.jpg,kg,,,active,172 cm
völkl-peregrine-inkl-lowride-tcx-gw,,,,,,,,Längd,177 cm,,,,,völkl-peregrine-80-inkl-lowride-tcx-12-gw-177,2000,shopify,75,deny,manual,10999,8799.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_142.jpg,1,177cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_142.jpg,kg,,,active,177 cm
völkl-peregrine-inkl-lowride-tcx-gw,,,,,,,,Längd,162 cm,,,,,völkl-peregrine-80-inkl-lowride-tcx-12-gw-162,2000,shopify,0,deny,manual,10999,8799.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_114.png,1,162cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_114.png,kg,,,active,162 cm
völkl-peregrine-inkl-lowride-tcx-gw,,,,,,,,Längd,182 cm,,,,,völkl-peregrine-80-inkl-lowride-tcx-12-gw-182,2000,shopify,0,deny,manual,10999,8799.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_071.jpg,1,182cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_071.jpg,kg,,,active,182 cm
völkl-peregrine-master-wc-pc-marker-comp-gw,Völkl Peregrine 76 Master w/WC-PC + Marker Comp 16 GW,"<p>Som en ultra-mångsidig, högteknologisk allmountain-tävlingsskida riktad mot högfartsentusiaster, erbjuder Völkl Peregrine 76 Master med WC-PC och Marker Comp 16 GW 24/25 överlägsen prestanda. Den är utrustad med avancerade material och konstruktionstekniker för optimal smidighet och kontroll.



Den förmonterade 10 mm Marker World Cup-plattan höjer bindningsgränssnittet, vilket förbättrar åkegenskaperna.



Med en kärna av World Cup-aska, ett högkvalitativt trä som sträcker sig över hela skidan, får du både stabilitet och tillförlitlighet. Skräddarsydda kolfiber i topparna ger exakt respons och aktiv skidglädje genom anpassad styvhet och torsionskontroll.



Två fulla lager av Titanal bidrar till ökad smidighet och dynamik, vilket ger aggressiva åkare en spännande upplevelse. 3D.Glass-teknologin förstärker kantgreppet och förbättrar elasticiteten jämfört med konventionella glaskonstruktioner.



Skidans toppskikt och tippskydd, samt den helt strukturerade ovansidan, ökar hållbarheten och livslängden. Full sidovägg ger direkt och stark kraftöverföring. Rockern i tip och tail med en camber-sektion i mitten möjliggör förbättrad styrning och snabb respons i svängarna.



Den sintrade P-Tex 4504-basens högmolekylära polyeten försäkrar maximal fart och optimalt glid genom utmärkt vaxabsorbering. Basens zebrastuktur förstärker precisionsstyrning och svänginitiering.



Error-absorbers och magnesiumkomponenter i Marker Comp 16 GripWalk®-bindningen ger överlägsna säkerhets- och komfortnivåer. Bindningsvinkeln på 1,4° bas och 87,6° sidokant säkerställer ett överlägset kantgrepp.



För aggressiva och ambitiösa åkare som strävar efter både tävling och nöje, erbjuder denna skida mångsidighet och smidig hantering. Med en innovativ design som innefattar Völkls expertis och avancerade teknologi är detta en förstklassig skida för tävlingsåkare som söker kombinationen av prestanda, precision och lekfull åkning.
</p>",Völkl,Pistskidor,Skis,"Pistskidor, unisex, Skiing, Alpine",True,Längd,176 cm,,,,,völkl-peregrine-76-master-wwc-pc-marker-comp-16-gw-176,2000,shopify,86,deny,manual,14999,10499.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_194.jpg,1,Völkl Peregrine 76 Master w/WC-PC + Marker Comp 16 GW 176cm - Product 007,False,Völkl Peregrine 76 Master w/WC-PC + Marker Comp 16 GW 176cm - Völkl | Premium Alpine Skis,Buy Völkl Peregrine 76 Master w/WC-PC + Marker Comp 16 GW by Völkl. High-quality alpine skis perfect for pistskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,völkl-peregrine-76-master-wwc-pc-marker-comp-16-gw-176;181,Völkl Skis,"Pistskidor, unisex",new,False,Völkl,Pistskidor,unisex,176;181,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_194.jpg,kg,,,active,176 cm
völkl-peregrine-master-wc-pc-marker-comp-gw,,,,,,,,Längd,181 cm,,,,,völkl-peregrine-76-master-wwc-pc-marker-comp-16-gw-181,2000,shopify,0,deny,manual,14999,10499.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_016.png,1,181cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_016.png,kg,,,active,181 cm
völkl-mini-revolt-marker-45-vmotion,Völkl Mini Revolt Junior + Marker 4.5 vMotion JR,"<p>Völkl Mini Revolt Junior erbjuder unga skidåkare en spännande upplevelse och är designad för att leverera exceptionell prestanda. Med Marker 4.5 VMotion JR-bindningar får du en pålitlig och färgglad utrustning som påtagligt attraherar junior åkare.

För att garantera hållbarhet och flexibilitet kombinerar denna produkt robusta material med en livfull och attraktiv design. Skidorna är specifikt utformade för att passa unga åkare, vilket säkerställer optimal passform och förbättrad prestanda under skidåkningen.

Bindningssystemet är enkelt att använda och erbjuder en säker och stabil förbindelse mellan sko och skida. Den flerfärgade designen är iögonfallande och tillför både stil och glädje till juniorernas skidupplevelse.

Sammantaget fokuserar detta skidsystem på att tillgodose behovet av säkerhet, hög prestanda och estetisk tilltalande design. Völkl Mini Revolt Junior med Marker 4.5 VMotion JR-bindningar är ett utmärkt val för den kommande skidsäsongen 24/25.
</p>",Völkl,Juniorskidor,Skis,"Juniorskidor, junior, Skiing, Alpine",True,Längd,88 cm,,,,,völkl-mini-revolt-junior-marker-45-vmotion-jr-88,2000,shopify,0,deny,manual,2499,1749.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_132.jpg,1,Völkl Mini Revolt Junior + Marker 4.5 vMotion JR 88cm - Product 008,False,Völkl Mini Revolt Junior + Marker 4.5 vMotion JR 88cm - Völkl | Premium Alpine Skis,Buy Völkl Mini Revolt Junior + Marker 4.5 vMotion JR by Völkl. High-quality alpine skis perfect for juniorskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,junior,adult,völkl-mini-revolt-junior-marker-45-vmotion-jr-88;98;108,Völkl Skis,"Juniorskidor, junior",new,False,Völkl,Juniorskidor,junior,88;98;108,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_132.jpg,kg,,,active,88 cm
völkl-mini-revolt-marker-45-vmotion,,,,,,,,Längd,98 cm,,,,,völkl-mini-revolt-junior-marker-45-vmotion-jr-98,2000,shopify,0,deny,manual,2499,1749.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_009.png,1,98cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_009.png,kg,,,active,98 cm
völkl-mini-revolt-marker-45-vmotion,,,,,,,,Längd,108 cm,,,,,völkl-mini-revolt-junior-marker-45-vmotion-jr-108,2000,shopify,35,deny,manual,2499,1749.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_045.jpg,1,108cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_045.jpg,kg,,,active,108 cm
völkl-mantra-m7,Völkl Mantra M7,"<p>Völkl Mantra M7 24/25 kombinerar avancerad teknik med högkvalitativa material för en förstklassig skidåkningsupplevelse. Med Multilayer Woodcore, som inkluderar både bok och poppelträ, får skidan en slitstark kärna som ger stark och direkt kraftöverföring. Konstruktionen med Full Sidewall bidrar ytterligare till denna stabilitet och kontroll.

Den skräddarsydda Titanalramen, anpassad till varje skidlängd, erbjuder den önskade dämpningen och vridstyvheten, skräddarsydd efter användarens längd och kraft. De skräddarsydda kolfibertopparna, där kolfiber är broderat på ett bärarmaterial för ökad precision, förbättrar vridstyvheten och energibyggnaden.

Med 4 Radius Drive-teknologin, en avancerad utveckling av 3D Radius Sidecut, uppnår Mantra M7 mångsidighet med enkel hantering och stabilitet, vilket möjliggör varierande svängradie beroende på snöförhållandena. Tip & Tail Rocker-designen med uppböjda spetsar och bakändar ger optimal manövrerbarhet och pålitlighet i olika terrängtyper.

Dessa skidor har också en slitstark P-Tex 2100-bas, tillverkad av högdensitetspolyeten för utmärkta glidegenskaper. Den borstade strukturen ger optimal smidighet och svängegenskaper, vilket gör skidan mer följsam och lättkontrollerad. Oavsett om man åker på hårda ytor eller i variabla snöförhållanden förblir stabiliteten och mångsidigheten enastående.

Völkl Mantra M7 24/25 erbjuder förbättrad stabilitet och livlighet, vilket möjliggör för skidåkare att njuta av en mer aktiv och dynamisk åkning. De skräddarsydda innovationerna i designen, såsom Titanalram och kolfibertoppar, säkerställer skräddarsydd dämpning och styvhet för ökad kontroll.

För de som söker en pålitlig och högpresterande skida för varierande snöförhållanden, både på och utanför pisterna, är Völkl Mantra M7 24/25 ett utmärkt val. Med sin lätta och agila konstruktion ger den en behaglig och exakt skidupplevelse.
</p>",Völkl,allmountainskidor,Skis,"allmountainskidor, unisex, Skiing, Alpine",True,Längd,163 cm,,,,,völkl-mantra-m7-163,2000,shopify,83,deny,manual,9000,6300.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_149.jpg,1,Völkl Mantra M7 163cm - Product 009,False,Völkl Mantra M7 163cm - Völkl | Premium Alpine Skis,Buy Völkl Mantra M7 by Völkl. High-quality alpine skis perfect for allmountainskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,völkl-mantra-m7-163;170;177;184;191,Völkl Skis,"allmountainskidor, unisex",new,False,Völkl,allmountainskidor,unisex,163;170;177;184;191,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_149.jpg,kg,,,active,163 cm
völkl-mantra-m7,,,,,,,,Längd,170 cm,,,,,völkl-mantra-m7-170,2000,shopify,31,deny,manual,9000,6300.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_169.jpg,1,170cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_169.jpg,kg,,,active,170 cm
völkl-mantra-m7,,,,,,,,Längd,177 cm,,,,,völkl-mantra-m7-177,2000,shopify,36,deny,manual,9000,6300.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_181.jpg,1,177cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_181.jpg,kg,,,active,177 cm
völkl-mantra-m7,,,,,,,,Längd,184 cm,,,,,völkl-mantra-m7-184,2000,shopify,27,deny,manual,9000,6300.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_135.jpg,1,184cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_135.jpg,kg,,,active,184 cm
völkl-mantra-m7,,,,,,,,Längd,191 cm,,,,,völkl-mantra-m7-191,2000,shopify,68,deny,manual,9000,6300.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_104.jpg,1,191cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_104.jpg,kg,,,active,191 cm
